courseid,classname,units,subject
ANTH161,The Body in Western Art: Antiquity to Present,4,Anthropology
ANTH163,Transnational and Global Communities,4,Anthropology
ANTH164,Forensic Anthropology,4,Anthropology
ANTH165,(E-Z) Anthropological Methods,4,Anthropology
ANTH165E,Methods in Archaeology,4,Anthropology
ANTH165F,Methods in Biological Anthropology,4,Anthropology
ANTH165G,Methods in Cultural Anthropology,4,Anthropology
ANTH165I,Research Methods of Linguistic Anthropology,4,Anthropology
ANTH167,Structural/Descriptive Linguistics,4,Anthropology
ANTH169,From the Maghreb to the Middle East,4,Anthropology
ANTH172,Archaeological Theory,4,Anthropology
ANTH173,Social Meanings of Space,4,Anthropology
ANTH176,Music Cultures of Southeast Asia,4,Anthropology
ANTH177,"Gender, Sexuality, and Music in Cross-Cultural Perspectives",4,Anthropology
ANTH178,Gender and Archaeology,4,Anthropology
ANTH179,"Gender, War, and Militarism",4,Anthropology
ANTH180,Material Culture,4,Anthropology
ANTH182,Anthropology of Human Rights,4,Anthropology
ANTH183,Professionalism in Anthropology,4,Anthropology
ANTH184,Field Course in Anthropology 4 to,16,Anthropology
ANTH185,Field Course in Archaeology: Survey and Documentation,4,Anthropology
ANTH186,War and Violence in the Ancient World,4,Anthropology
ANTH188,"Islam, Women, and the State",4,Anthropology
ANTH189,Gender and Power in Muslim Societies,4,Anthropology
ANTH190,Special Studies 1 to,5,Anthropology
ANTH191,Seminar in Anthropology,4,Anthropology
ANTH195A,Senior Thesis,4,Anthropology
ANTH195B,Senior Thesis,4,Anthropology
ANTH195C,Senior Thesis,4,Anthropology
ANTH198I,Internship in Anthropology 1 to,12,Anthropology
ANTH199H,Senior Honors Research 1 to,5,Anthropology
ANTH200A,Core Theory in Anthropology,4,Anthropology
ANTH200B,Core Theory in Anthropology,4,Anthropology
ANTH200C,Core Theory in Anthropology,4,Anthropology
ANTH201,"Critical Theories of Gender, Race, and Blackness",4,Anthropology
ANTH202,Topics in Southeast Asian Studies,4,Anthropology
ANTH203,Southeast Asian Cultures,4,Anthropology
ANTH204,Anthropology of Identity,4,Anthropology
ANTH205,Race and Ethnicity in Mexico,4,Anthropology
ANTH206,Archaeology of Violence and Conflict,4,Anthropology
ANTH207,Archaeology of Power and Ideology,4,Anthropology
ANTH208,Anthropology of the Black Diaspora,4,Anthropology
ANTH209,Field Course in Maya Archaeology 4 to,12,Anthropology
ANTH210A,Description and Inference in Anthropology,4,Anthropology
ANTH210B,Professionalism in Anthropology,4,Anthropology
ANTH211,Afro-Latino(a) Ethnography,4,Anthropology
ANTH217,Matter and Materiality,4,Anthropology
ANTH218,Ancient Maya History and Religion,4,Anthropology
ANTH220,Theoretical Archaeology,4,Anthropology
ANTH228,Lithic Analysis,4,Anthropology
ANTH251,Theory and Method in Mexican Ethnography,4,Anthropology
ANTH252,Seminar in Archaeology,4,Anthropology
ANTH253,Seminar in Physical Anthropology,4,Anthropology
ANTH255,"Feminism, Gender, and Archaeology",4,Anthropology
ANTH256,Seminar in Cultural Anthropology,4,Anthropology
ANTH257,Southeast Asian Religions,4,Anthropology
ANTH258,Space and Place in Archaeology,4,Anthropology
ANTH259,Seminar in Linguistic Anthropology,4,Anthropology
ANTH260,Ethnographic Field Methods,4,Anthropology
ANTH261,Anthropology of the Body,4,Anthropology
ANTH262,Seminar in Medical Anthropology,4,Anthropology
ANTH263,Seminar in Ecological Anthropology,4,Anthropology
ANTH264,Codices of Ancient Mexico,4,Anthropology
ANTH265,Seminar On Anthropology of Visual Culture,4,Anthropology
ANTH266,Seminar On History and Memory,4,Anthropology
ANTH267,Ethnographies of Postsocialism,4,Anthropology
ANTH277,Seminar in Political Ecology,4,Anthropology
ANTH278,Seminar in Representation and the Ethnographic Text,4,Anthropology
ANTH279,Seminar in Political Anthropology,4,Anthropology
ANTH280,Seminar in Anthropology of Tourism,4,Anthropology
ANTH281,Anthropology of Humanitarianism,4,Anthropology
ANTH290,Directed Studies 1 to,6,Anthropology
ANTH291,Individual Studies in Coordinated Areas 1 to,6,Anthropology
ANTH292,Concurrent Analytical Studies in Anthropology 1 to,4,Anthropology
ANTH297,Directed Research 1 to,6,Anthropology
ANTH299,Research For Thesis Or Dissertation 1 to,12,Anthropology
ANTH301,Directed Studies in the Teaching of Anthropology,4,Anthropology
ARBC001,Elementary Arabic,4,Arabic Language
ARBC001,Elementary Arabic,4,Arabic Language
ARBC002,Elementary Arabic,4,Arabic Language
ARBC002,Elementary Arabic,4,Arabic Language
ARBC003,Elementary Arabic,4,Arabic Language
ARBC003,Elementary Arabic,4,Arabic Language
ARBC004,Intermediate Arabic,4,Arabic Language
ARBC004,Intermediate Arabic,4,Arabic Language
ARBC005,Intermediate Arabic,4,Arabic Language
ARBC005,Intermediate Arabic,4,Arabic Language
ARBC006,Intermediate Arabic,4,Arabic Language
ARBC006,Intermediate Arabic,4,Arabic Language
ARBC101A,Advanced Arabic,4,Arabic Language
ARBC101A,Advanced Arabic,4,Arabic Language
ARBC101B,Advanced Arabic,4,Arabic Language
ARBC101B,Advanced Arabic,4,Arabic Language
ARBC101C,Advanced Arabic,4,Arabic Language
ARBC101C,Advanced Arabic,4,Arabic Language
ARBC105,Media Arabic,4,Arabic Language
ARBC105,Media Arabic,4,Arabic Language
ARBC110,Advanced Readings in Arabic,4,Arabic Language
ARBC110,Advanced Readings in Arabic,4,Arabic Language
ARLC120,Classical Arabic Literary Prose,4,Arabic Literatures and Culture
ARLC120,Classical Arabic Literary Prose,4,Arabic Literatures and Culture
ARLC151,Palestine/Algeria,4,Arabic Literatures and Culture
ARLC151,Palestine/Algeria,4,Arabic Literatures and Culture
ARLC152,Modern Arabic Poetry in A Multilingual Frame,4,Arabic Literatures and Culture
ARLC152,Modern Arabic Poetry in A Multilingual Frame,4,Arabic Literatures and Culture
ARLC154,Introduction to Arabic Philosophy,4,Arabic Literatures and Culture
ARLC154,Introduction to Arabic Philosophy,4,Arabic Literatures and Culture
ARLC155,Introduction to Arabic Literature,4,Arabic Literatures and Culture
ARLC155,Introduction to Arabic Literature,4,Arabic Literatures and Culture
ARLC156,Jews and Arabs,4,Arabic Literatures and Culture
ART001,Beginning Drawing and Design,4,Art History
ART002,Beginning Painting and Design,4,Art History
ART003,Introduction to Photographic Processes,5,Art History
ART004,"Introduction to Moving Images: Film, Video and New Media",5,Art History
ART005,Beginning Sculpture and Three- Dimensional Design,4,Art History
ART006,Introduction to Contemporary Critical Issues in Art,4,Art History
ART008,Current Topics in Contemporary Art,4,Art History
ART009,Introductory Web-Based Art: Site Creation and Navigation,4,Art History
ART010,Introduction to Video and Time-Based Experimentation,4,Art History
ART012,Art After the Internet: Memetic Images and Vernacular Technology,4,Art History
ART032,Art Studio One,4,Art History
ART065,Introduction to Digital Painting and Drawing: Painting Without A Trace,4,Art History
ART066,Introduction to Three- Dimensional Digital Modeling,4,Art History
ART067,Three-Dimensional Digital Modeling and Animation,4,Art History
ART070,(E-Z) Digital Imaging Software For the Visual Arts,4,Art History
ART071,(E-Z) Photographic Materials and Processes,4,Art History
ART075,(E-Z) Sculpture Materials and Processes,2,Art History
ART102,Intermediate Drawing,4,Art History
ART103,Advanced Drawing,4,Art History
ART104,Life Drawing,4,Art History
ART110,Intermediate Painting,4,Art History
ART111,Advanced Painting,4,Art History
ART112,(E-Z) Painting Materials and Processes,2,Art History
ART115,Intermediate Sculpture,4,Art History
ART123,Chromalogue,4,Art History
ART125,"Sculpture Hybrid: Furniture, Architecture, Decoration (fad)",4,Art History
ART131,Intermediate Photography and Digital Technology,4,Art History
ART132,Art Studio Two,4,Art History
ART133,Senior Art Workshop,4,Art History
ART134,Mixed Media,4,Art History
ART135,"Intermedia: Art, Media, and Culture",4,Art History
ART136,Installation and Site-Specific Art,4,Art History
ART137,Advanced Sculpture,4,Art History
ART139,"Intermediate Web-Based Art: Animation, Audio, and Interactivity",4,Art History
ART140,Intermediate Analog Photography,4,Art History
ART143,Advanced Digital Imaging Technology,4,Art History
ART145,Advanced Photography Workshop,4,Art History
ART146,(E-Z) Topics in Advanced Photography,4,Art History
ART150,Intermediate Moving Images: Film Video and New Media,5,Art History
ART151,Intermediate Video and Time- Based Experimentation,4,Art History
ART152,Advanced Video and Time-Based Experimentation,4,Art History
ART155,"Advanced Moving Images: Film, Video and New Media",4,Art History
ART160,Intermediate Art Theory,4,Art History
ART161,Special Topics in Art Criticism and Theory,4,Art History
ART162,Special Topics in New Genres of Art Practice,4,Art History
ART165,Intermediate Digital Painting and Drawing: Intermediate Painting Without A Trace,4,Art History
ART167,Intermediate Digital Media: Web Authoring,4,Art History
ART168,Intermediate Digital Media: Interactive Technology,4,Art History
ART169,(E-Z) Digital Imaging Software For the Visual Arts: Intermediate Software Skills,1,Art History
ART171,Intermediate and Advanced Sculpture and Digital Technology,4,Art History
ART175,Advanced Digital Workshop,4,Art History
ART180,Contemporary Issues and Practice,4,Art History
ART185,Senior Exhibition Seminar,4,Art History
ART190,Special Studies 1 to,5,Art History
ART195,Senior Thesis,4,Art History
ART198I,Individual Internship 1 to,12,Art History
ART230,Contemporary Critical Issues,4,Art History
ART240,Current Topics in Critical Theory,4,Art History
ART285,Peer Critique,4,Art History
ART290,Directed Studies 1 to,6,Art History
ART292,Concurrent Studies in Art 1 to,4,Art History
ART293,Directed Individual Studio Production 1 to,4,Art History
ART299,Research For Thesis 1 to,4,Art History
ART302,Teaching Practicum 1 to,4,Art History
ART400,Artist Practice Seminar,4,Art History
AST022,Introduction to Japanese Film,4,Asian Studies
AST023,Modern Japan and Personal Narrative,4,Asian Studies
AST030,Introduction to Chinese Civilization,5,Asian Studies
AST034,Introduction to Classical Japanese Literature,4,Asian Studies
AST040,Masterworks of Chinese Literature,4,Asian Studies
AST045,(E-Z) Topics in Asian History,4,Asian Studies
AST046,Responses to Political Repression in Modern Chinese Literature and Film,4,Asian Studies
AST046W,Responses to Political Repression in Modern Chinese Literature and Film,4,Asian Studies
AST047,Introduction to Korean Film,4,Asian Studies
AST048,Chinese Cinema,4,Asian Studies
AST056,Cultures of the Japanese Empire,4,Asian Studies
AST062,Introduction to Southeast Asian Literature,4,Asian Studies
AST063,Reading Southeast Asian Stories,4,Asian Studies
AST064,Introduction to Vietnamese and Diasporic Film Culture,4,Asian Studies
AST067,Language and Text in Contemporary South Asian Religions,4,Asian Studies
AST068,Language and Text Inner Asian Religions,4,Asian Studies
AST090,Special Studies 1 to,5,Asian Studies
AST112,Modern Korean Literature,4,Asian Studies
AST117,Meditation as Medicine: A Critical Exploration,4,Asian Studies
AST118,(E-Z) Masterworks of Chinese Literature in Translation,4,Asian Studies
AST119,Japanese Music and Culture,4,Asian Studies
AST120,"Tibetan Buddhism: Dalai Lamas, Tantric Madness, and Mass Monasticism",4,Asian Studies
AST123,Southeast Asian Performance,4,Asian Studies
AST124,Music of Asian America,4,Asian Studies
AST126,"Southeast Asia, Prehistory to 1800",4,Asian Studies
AST127,Music Cultures of Southeast Asia,4,Asian Studies
AST128,Performing Arts of Asia,4,Asian Studies
AST129,"Modern Southeast Asia, 1800 to Present",4,Asian Studies
AST130,History of Philosophy in India,4,Asian Studies
AST131,"The Buddha’s Brain: Mind, Reality, and Power in the Buddhism- Science Dialogue",4,Asian Studies
AST132,Medical Traditions in China and Greece,4,Asian Studies
AST133,Buddhist Literature,4,Asian Studies
AST134,Modern Chinese Literature in Translation,4,Asian Studies
AST135,Great Novels of China,4,Asian Studies
AST136,Family and Gender in the Chinese Short Story,4,Asian Studies
AST137,Contemporary Chinese Literature in Translation,4,Asian Studies
AST138,Arts of China,4,Asian Studies
AST139,The Arts of Buddhism,4,Asian Studies
AST142,Zhuangzi,4,Asian Studies
AST143,Text and Image in Chinese Painting,4,Asian Studies
AST144,Arts of Japan,4,Asian Studies
AST145,Militarism and Hegemony in the Ancient World,4,Asian Studies
AST146,Contemporary Asian Art,4,Asian Studies
AST147,The Japanese House,4,Asian Studies
AST148,Chinese Poetry and Poetics in Translation,4,Asian Studies
AST150,In Women’s Hands: Reading Japanese Women Writers,4,Asian Studies
AST152,(E-Z) Themes in Modern Japanese Literature,4,Asian Studies
AST153,(E-Z) Themes in Early Japanese Literature,4,Asian Studies
AST154,(E-Z) Themes in the Folklore and Popular Culture of Japan,4,Asian Studies
AST160,The Vietnam Wars,4,Asian Studies
AST161,Translating Modern Southeast Asian Texts,4,Asian Studies
AST162,Vietnamese Literary History,4,Asian Studies
AST163,Nationalism and the Novel,4,Asian Studies
AST164,Vietnamese American Culture,4,Asian Studies
AST165,(E-Z) Themes in Vietnamese Literature: Women and War,4,Asian Studies
AST166,Vietnam and the Philippines,4,Asian Studies
AST167,Postcolonial Literature and Criticism in Southeast Asia and South Asia,4,Asian Studies
AST168,Javanese Gamelan Ensemble: Beginning,2,Asian Studies
AST169,Taiko Ensemble,1,Asian Studies
AST170,Rondalla Ensemble 1 to,2,Asian Studies
AST180,Japanese Documentary,4,Asian Studies
AST184,Japanese Media and Cultural Studies,4,Asian Studies
AST185,New Chinese Cinema,4,Asian Studies
AST186,"Hong Kong Cinema: Gender, Genre, and the “New Wave",4,Asian Studies
AST188,(E-Z) Topics in Chinese History,4,Asian Studies
AST189,Encountering Vietnam,5,Asian Studies
AST190,Special Studies 1 to,5,Asian Studies
AST195,Capstone Senior Thesis 1 to,4,Asian Studies
BCH010,Introduction to Nutrition,4,Biochemistry
BCH015,Introduction Biochemistry Laboratory,3,Biochemistry
BCH095,Topics in Biochemistry For Career Planning,1,Biochemistry
BCH096,Introduction to Humanitarian and Healthcare Service,1,Biochemistry
BCH097,Research Tutorial in Biochemistry,1,Biochemistry
BCH098I,Individual Internship in A Humanitarian Or Healthcare Arena,1,Biochemistry
BCH100,Introductory Biochemistry,4,Biochemistry
BCH100H,Honors Introductory Biochemistry,4,Biochemistry
BCH110A,General Biochemistry,4,Biochemistry
BCH110B,General Biochemistry,4,Biochemistry
BCH110C,General Biochemistry,4,Biochemistry
BCH120,Topics in Human Biochemistry,4,Biochemistry
BCH162,Advanced Biochemistry Laboratory,5,Biochemistry
BCH180,(E-Z) Advanced Methods in Biochemistry,2,Biochemistry
BCH183,Plant Biochemistry and Pharmacology of Plant Metabolites,4,Biochemistry
BCH184,Topics in Physical Biochemistry,4,Biochemistry
BCH185,Epigenetics in Development and Disease,4,Biochemistry
BCH186,Molecular Bioenergetics,3,Biochemistry
BCH187,Fundamentals of Enzymology,3,Biochemistry
BCH188,Fundamentals of Genomics Technologies,3,Biochemistry
BCH189,Advanced Analysis of Biochemical Methods,2,Biochemistry
BCH190,Special Studies 2 to,4,Biochemistry
BCH197,Research For Undergraduate Students 1 to,4,Biochemistry
BCH198I,Internship in Biochemistry 1 to,12,Biochemistry
BCH204,Genome Maintenance and Stability,4,Biochemistry
BCH209,Ribonucleic Acid Biology,3,Biochemistry
BCH210,Biochemistry of Macromolecules,4,Biochemistry
BCH211,Molecular Biology,3,Biochemistry
BCH212,Signal Transduction and Biochemical Regulation,3,Biochemistry
BCH230,(E-Z) Advanced Topics in Biochemistry,2,Biochemistry
BCH231,The Plant Genome,4,Biochemistry
BCH240,Special Topics in Biochemistry,2,Biochemistry
BCH250,Oral Presentations in Biochemistry,2,Biochemistry
BCH251,Graduate Seminar in Biochemistry,2,Biochemistry
BCH252,General Seminar in Biochemistry,1,Biochemistry
BCH261,"Seminar in Genetics, Genomics, and Bioinformatics",1,Biochemistry
BCH289,Special Topics in Neuroscience,2,Biochemistry
BCH290,Directed Studies 1 to,4,Biochemistry
BCH291,Individual Study in Biochemistry 1 to,6,Biochemistry
BCH297,Directed Research 1 to,6,Biochemistry
BCH299,Research For Thesis Or Dissertation 1 to,12,Biochemistry
BCH301,Teaching of Biochemistry at the College Level,1,Biochemistry
BCH302,Apprentice Teaching 1 to,4,Biochemistry
BIEN001,Introductory Colloquium in Bioengineering,1,Bioengineering
BIEN010,Overview of Bioengineering,4,Bioengineering
BIEN101,Quantitative Biochemistry,4,Bioengineering
BIEN105,Circulation Physiology,4,Bioengineering
BIEN110,Biomechanics of the Human Body,4,Bioengineering
BIEN111,Advanced Statistical Methods and Research Design For Bioengineering,4,Bioengineering
BIEN115,Quantitative Physiology,4,Bioengineering
BIEN120,Biosystems and Signal Analysis,4,Bioengineering
BIEN125,Biotechnology and Molecular Bioengineering,4,Bioengineering
BIEN130,Bioinstrumentation,4,Bioengineering
BIEN130L,Bioinstrumentation Laboratory,2,Bioengineering
BIEN135,Biophysics and Biothermodynamics,4,Bioengineering
BIEN136,Tissue Engineering,4,Bioengineering
BIEN137,Advanced Biomechanics,4,Bioengineering
BIEN138,Fundamental Principles of Wound Repair,4,Bioengineering
BIEN140A,Biomaterials,4,Bioengineering
BIEN140B,Biomaterials,4,Bioengineering
BIEN142,Introductory Biomedical Optical Imaging,4,Bioengineering
BIEN155,Biotechnology Laboratory,2,Bioengineering
BIEN159,Dynamics of Biological Systems,4,Bioengineering
BIEN160,Biomedical Imaging,4,Bioengineering
BIEN165,Biomolecular Engineering,4,Bioengineering
BIEN166,Bioinspired Engineering For Sustainable Energy,4,Bioengineering
BIEN167,Medical Diagnostics,4,Bioengineering
BIEN168,Bioengineering Analysis and Modeling,4,Bioengineering
